number_of_teams,fixtures_left,number_of_constraints,runtime
4,4,3,0.050442
4,4,3,0.048012
4,4,3,0.050547
4,4,3,0.049733
4,4,3,0.049643
4,4,3,0.049433
4,4,3,0.049488
4,4,1,0.050856
4,4,1,0.047522
4,4,1,0.050119
4,4,1,0.048101
4,4,1,0.050863
4,4,1,0.051334
4,4,1,0.051913
4,4,1,0.050034
4,4,1,0.054221
4,4,1,0.051467
4,4,1,0.04533
4,4,1,0.048883
4,4,1,0.051846
4,4,1,0.050099
4,4,1,0.049538
4,4,1,0.05183
4,4,1,0.051119
4,4,1,0.050481
4,4,1,0.051799
4,4,1,0.04962
4,4,2,0.050683
4,4,2,0.050946
4,4,2,0.052411
4,4,2,0.054224
4,4,2,0.051766
4,4,2,0.04986
4,4,2,0.05051
4,4,2,0.052219
4,4,2,0.050555
4,4,2,0.052708
4,4,1,0.05292
4,4,1,0.048167
4,4,1,0.049546
4,4,1,0.049753
4,4,1,0.051005
4,4,1,0.052186
4,4,1,0.053427
4,4,1,0.05213
4,4,1,0.053224
4,4,1,0.050854
4,4,2,0.050645
4,4,2,0.052061
4,4,2,0.050975
4,4,2,0.051184
4,4,2,0.052921
4,4,2,0.051473
4,4,2,0.051526
4,4,2,0.049886
4,4,2,0.05002
4,4,2,0.050625
4,4,3,0.051051
4,4,3,0.050049
4,4,3,0.050673
4,4,3,0.049677
4,4,3,0.049301
4,4,3,0.050332
4,4,3,0.050289
4,4,3,0.049748
4,4,3,0.050075
4,4,3,0.049327
4,4,1,0.046113
4,4,1,0.049383
4,4,1,0.051292
4,4,1,0.04942
4,4,1,0.051198
4,4,1,0.050096
4,4,1,0.0519
4,4,1,0.051469
4,4,1,0.051368
4,4,1,0.04945
4,4,2,0.049111
4,4,2,0.05067
4,4,2,0.051057
4,4,2,0.050878
4,4,2,0.051347
4,4,2,0.050936
4,4,2,0.052539
4,4,2,0.052403
4,4,2,0.06522
4,4,2,0.064759
4,4,3,0.052528
4,4,3,0.051557
4,4,3,0.050038
4,4,3,0.049397
4,4,3,0.050632
4,4,3,0.050599
4,4,3,0.052756
4,4,3,0.050355
4,4,3,0.051254
4,4,3,0.050594
6,6,1,0.419197
6,6,1,0.22799
6,6,1,0.053456
6,6,1,0.055476
6,6,1,0.062649
6,6,1,0.278895
6,6,1,0.053154
6,6,1,0.057592
6,6,1,0.272215
6,6,1,0.064265
6,6,2,0.054386
6,6,2,0.096521
6,6,2,0.087194
6,6,2,0.069404
6,6,2,0.099085
6,6,2,0.053744
6,6,2,0.14146
6,6,2,0.810689
6,6,2,0.056453
6,6,2,0.155554
6,6,3,0.05301
6,6,3,0.417972
6,6,3,0.055972
6,6,3,0.075855
6,6,3,0.144893
6,6,3,0.068892
6,6,3,0.230863
6,6,3,0.11985
6,6,3,0.09812
6,6,3,0.109711
8,6,1,5.000544
8,6,1,0.14057
8,6,1,0.703651
8,6,1,5.000461
8,6,1,0.215577
8,6,1,5.001564
8,6,1,0.60456
8,6,1,0.169826
8,6,1,5.001997
8,6,1,1.559172
8,6,2,0.290036
8,6,2,5.002209
8,6,2,0.162337
8,6,2,3.684072
8,6,2,0.161568
8,6,2,0.151095
8,6,2,3.063369
8,6,2,5.002027
8,6,2,0.296794
8,6,2,0.348998
8,6,3,2.081359
8,6,3,0.14853
8,6,3,1.334996
8,6,3,4.09788
8,6,3,0.266857
8,6,3,5.001899
8,6,3,4.01159
8,6,3,0.235009
8,6,3,0.334862
8,6,3,0.565586
12,6,1,0.088019
12,6,1,0.088472
12,6,1,5.000946
12,6,1,0.113934
12,6,1,5.000495
12,6,1,5.000613
12,6,1,2.799209
12,6,1,5.000676
12,6,1,0.270332
12,6,1,1.219595
12,6,2,5.000936
12,6,2,0.114661
12,6,2,5.000614
12,6,2,0.118744
12,6,2,0.204861
12,6,2,2.107995
12,6,2,5.00057
12,6,2,0.115949
12,6,2,4.508353
12,6,2,5.000632
12,6,3,5.000952
12,6,3,0.367622
12,6,3,5.000974
12,6,3,5.001046
12,6,3,5.00059
12,6,3,0.305674
12,6,3,0.114914
12,6,3,2.328676
12,6,3,5.000986
12,6,3,1.420216
12,6,1,0.0887
12,6,1,0.089232
12,6,1,5.000905
12,6,1,0.089835
12,6,1,5.001057
12,6,1,5.000561
12,6,1,1.88919
12,6,1,5.000624
12,6,1,0.29675
12,6,1,1.301938
12,6,2,5.000508
12,6,2,0.123538
12,6,2,5.001054
12,6,2,0.119699
12,6,2,0.204
12,6,2,2.237323
12,6,2,5.001028
12,6,2,0.118554
12,6,2,4.399981
12,6,2,5.000771
12,6,3,5.001018
12,6,3,0.476669
12,6,3,5.001076
12,6,3,5.000599
12,6,3,5.000609
12,6,3,0.326997
12,6,3,0.129475
12,6,3,2.362881
12,6,3,5.000582
12,6,3,1.532409
12,6,1,0.00234
12,6,1,0.001325
12,6,1,0.001539
12,6,1,0.00126
12,6,1,0.001639
12,6,1,0.003175
12,6,1,0.002156
12,6,1,0.007142
12,6,1,0.003092
12,6,1,0.002156
12,6,2,0.004824
12,6,2,0.003266
12,6,2,0.004123
12,6,2,0.003184
12,6,2,0.00654
12,6,2,0.003937
12,6,2,0.004684
12,6,2,0.008941
12,6,2,0.003706
12,6,2,0.010543
12,6,3,0.00654
12,6,3,0.00495
12,6,3,0.010515
12,6,3,0.010032
12,6,3,0.002809
12,6,3,0.003505
12,6,3,0.008142
12,6,3,0.005274
12,6,3,0.008725
12,6,3,0.00386
12,6,1,0.022398
12,6,1,0.02363
12,6,1,0.015641
12,6,1,0.005708
12,6,1,0.016547
12,6,1,0.016125
12,6,1,0.004323
12,6,1,0.039108
12,6,1,0.033544
12,6,1,0.059994
12,6,2,0.00231
12,6,2,0.022059
12,6,2,0.004815
12,6,2,0.005108
12,6,2,0.010796
12,6,2,0.012085
12,6,2,0.014213
12,6,2,0.003465
12,6,2,0.0239
12,6,2,0.194803
12,6,3,0.252818
12,6,3,0.110741
12,6,3,0.019574
12,6,3,0.081075
12,6,3,0.009283
12,6,3,0.003697
12,6,3,0.009072
12,6,3,0.031877
12,6,3,0.028785
12,6,3,0.007517
12,6,1,0.032284
12,6,1,0.003161
12,6,1,0.003932
12,6,1,0.004387
12,6,1,0.004559
12,6,1,0.013942
12,6,1,0.005707
12,6,1,0.016507
12,6,1,0.006779
12,6,1,0.059659
12,6,2,0.007053
12,6,2,0.004086
12,6,2,0.028669
12,6,2,0.062352
12,6,2,0.006467
12,6,2,0.054361
12,6,2,0.032649
12,6,2,0.003451
12,6,2,0.007539
12,6,2,0.03343
12,6,3,0.014414
12,6,3,0.068483
12,6,3,0.004502
12,6,3,0.014612
12,6,3,0.019984
12,6,3,0.058619
12,6,3,0.008788
12,6,3,0.005379
12,6,3,0.025166
12,6,3,0.004629
12,6,1,0.002121
12,6,1,0.001333
12,6,1,0.001434
12,6,1,0.001389
12,6,1,0.001503
12,6,1,0.002319
12,6,1,0.004225
12,6,1,0.002692
12,6,1,0.003228
12,6,1,0.002832
12,6,2,0.003197
12,6,2,0.013998
12,6,2,0.004787
12,6,2,0.003188
12,6,2,0.006166
12,6,2,0.006533
12,6,2,0.002073
12,6,2,0.002849
12,6,2,0.006095
12,6,2,0.007874
12,6,3,0.003958
12,6,3,0.006608
12,6,3,0.004559
12,6,3,0.003951
12,6,3,0.009962
12,6,3,0.00305
12,6,3,0.01387
12,6,3,0.002795
12,6,3,0.004025
12,6,3,0.004961
4,4,1,0.047815
